normalized_name,keep_id,drop_id,drop_prices_before,keep_prices_before,keep_prices_after,drop_recipe_links_before,keep_recipe_links_before,keep_recipe_links_after,drop_nutrition_rows_before,keep_nutrition_rows_before,keep_nutrition_rows_after,drop_exists_after,miss_bls_key,miss_default_unit,miss_ingredient_type,miss_initial_recipe_id,miss_tenant_id,miss_nutrition_id
mascarpone,30545dfa-eb30-5654-a4e1-4a794536d659,5ceed396-cf96-5a39-8a75-73698b02801f,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
mayonnaise,c6f52067-a394-5d8f-b5e5-53a3c35799d2,09b03285-dbea-5fd6-9688-f8fe03ccb66a,1,0,1,0,2,2,1,0,1,0,0,0,0,0,0,0
meerrettich,84891994-593a-50f3-a83f-5ae0458aff1b,19c257ce-61d2-55bb-86fa-7d859ade4477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meersalz,4ad35980-98cb-5c5d-9339-cdb9cfd7d034,26afc8bb-4e29-506c-a9b7-191f7f5bf6c8,1,0,1,0,2,2,1,1,1,0,0,0,0,0,0,0
mirabelle,2f8f46cb-dc0b-57ab-af51-dc63ec474337,581458fa-33c3-5d3b-93b1-bf551e7499c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mispel,0e1219de-f73a-5cea-9286-2d81672b33f1,2994c3b9-2485-5702-897a-3edc1a942c9b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mohn,5828833a-cdf4-5e5e-85df-43884a3f0094,bf410a82-2345-5c05-a6ba-725b0196982f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
morchel,349adfc7-8d14-5786-915e-dbe57681a0ee,278cc375-84d5-58d9-b2ae-42ebc4ab4a58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mozzarella,f73ff758-b518-56fd-b860-18af450a3ded,85ff03e0-6596-58c1-939b-cc13963bf092,1,0,1,0,3,3,1,1,1,0,0,0,0,0,0,0
nektarine,09af6699-c838-522c-9e1c-05074b04db99,d0664dca-f709-5e65-8ef2-d84e1a195244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nougat,e00a4b76-0c55-5919-8d05-f1364f8fbea6,1971b3c1-4586-57d2-a0c6-19f09ccb2c8e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orangeat,6e054112-ff32-5c5b-bcfc-524ca4c1b405,670ff040-0ca9-53f4-b13e-3ee8b781a54d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pampelmuse,271431a0-5457-5ac1-bace-646e5175df70,8b176ed7-b80d-53e2-8c59-4ec575873e09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paranuss,11365011-8401-5b67-90c1-750732f329ff,5acb5abc-f773-5435-8393-454bff876172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parmaschinken,7d7e435c-1fc5-5777-88ab-658846dded24,7e489b8c-5884-5ff1-bb85-c36f7c80fddb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pfifferling,fee3d21d-fde9-5982-8278-060ed348c793,6d6af50b-a337-57df-8c23-7eeab03189a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pfirsich,12d6ddf5-c1fc-59a0-894b-b71024380c06,e79dd304-1023-585d-a8c8-2044c6073a34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pflaumenmus,87256521-419b-5ff8-a9a6-478cf1720f2a,dafd030a-c6cd-5526-b849-d6c9ef934fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pimpinelle,b4449583-4f69-5bd3-9339-deb29f5f6341,3c14485a-c7ea-55cd-a799-405ea0394d0d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
puderzucker,a71cc9a9-1ea0-50c9-b6d5-30dd66059465,cfe3ba20-d0e4-526a-bd13-304e0c763906,1,0,1,0,4,4,1,1,1,0,0,0,0,0,0,0
puffreis,454af202-f1aa-56fc-a595-448585e53226,f4a10cc9-6d97-50e1-a3e1-47d4d9e67811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pumpernickel,3cdcaa0f-c7e8-5430-b89c-f47fc1872c6c,fac7d24d-f90b-54dc-a99f-f5f658b7ae6b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quitte,34a5252c-7324-5ca9-80ae-44b971535385,7b6cd034-fcb8-5817-8638-053a0145dd39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reisnudeln,682f104c-45b4-5b98-a13f-0fbf3abff537,7afe8fcd-960a-5b60-a591-86a2ef3fb8b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rettich,74dac19a-29e2-588a-9eea-f2f333c39ad6,7b66b3bb-5f7a-5bd0-8ee6-4028d197575a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rhabarber,232a42f9-798c-567b-a25d-2ebfaaf83dde,a918e5d0-9eee-546f-b7a4-ce3cd3ab0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rindertalg,296f1869-ff85-5ac8-9de4-7d5338ac860d,990ebfaf-bb15-5be5-9bf1-8b99fad915ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rosinen,69398596-8689-59af-b6c9-6b1223a5eb68,e2ff02a5-2e39-5743-a5d1-e537381fab9e,1,0,1,0,2,2,1,0,1,0,0,0,0,0,0,0
rum,2528b6b0-8c5e-5593-a099-75d0c809ddde,64ade59d-ad2d-539a-95cd-2e9a9c1816a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sahne,5d6686a0-ac2c-5046-8c07-40fc79522292,8e047d2e-9d00-5d22-bbb6-dc947e7191cf,1,0,1,0,3,3,1,1,1,0,0,0,0,0,0,0
salami (schwein),00626fe5-b090-5bfd-bcb5-b501503bc19c,305bef45-a437-5070-95b4-ad3c7f6aadb9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salz,c03bb078-f032-5c76-b20c-5c12a01021e5,e2e98989-e46c-52ce-95ab-4893d3481927,2,0,2,0,55,55,1,1,1,0,0,0,0,0,0,0
sanddornbeere,ec55e6a0-df06-5656-8e3b-8030e4a640cc,bcc38955-2499-57bd-ac69-893d29c11e93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sauerampfer,1747fdd2-86b8-53c5-9f72-6e657a5a7768,529ad100-6832-5ca6-ad88-11da0270d95c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sauerkirsche,39632cf6-e645-5f18-897f-03986e26df89,8ee90256-66cb-5ab8-a74d-7bf0596b59ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schafskäse,70bdbd1a-1aa9-5cfa-8448-a713968f974a,441d403c-3917-5ba8-97d0-6a47d79ce3fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schillerlocke,2d5ac090-77a1-58da-891b-07504f2eff93,c1b3e6db-8cfc-57de-b3b6-253e0efbb88a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schlagsahne,553911be-5cee-5c00-a7d8-ec862410ee6a,9d5a4aa6-55f9-52c3-ad9f-5edd1a9ba4c0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
schmelzkäse,992a1caf-388f-5318-93b3-96f9f0691266,486bec1d-c6c2-577f-a123-1ccb377f9213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schweineroulade,5ba6d187-8e4d-53b8-a68d-21062e9e7bcc,7dfda3ed-649c-5dfd-ab6c-51bd38601630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schwertfisch,2c92ae54-450d-5c5c-be52-410abcbe9375,471428e2-4016-515a-a4fc-4a50a8e87421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sekt,17781d98-d63d-5f06-a6ff-7edb407f132b,43093cd9-4ac2-588e-97f6-09aed5a9374e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
senf,5eece239-cfe6-59d4-821d-62db2b7f16d1,fb66d508-3ea8-55e6-bef2-801400b27d8e,1,0,1,0,5,5,1,1,1,0,0,0,0,0,0,0
sesamöl,721c6ec8-baab-5216-b869-201388dcb0a9,845004dd-7c93-565f-8bd5-7464607e2258,2,0,2,0,5,5,1,1,1,0,0,0,0,0,0,0
sherry,a2f656bc-6e34-5d56-a0bf-76018a811765,3c12bd08-325e-58b0-8888-29f16f9831fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sirup,83cb2b57-54f4-501f-b514-2c0e68d732bd,7f1546a9-6cf4-583f-a200-93b2294be047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sojabohnen,d8af9e76-f737-517c-bbb9-7091eaf7c79c,b9a8d2f6-6dc9-59d4-8036-a04a82c724eb,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
sojamehl,bbab0755-6e1e-5b42-ab69-f9e1117b7bef,6b31771d-d8e8-564a-9788-339919b936c7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sojaöl,03e57d10-c08d-5e44-bafd-db983e96e03c,aca66867-4bfc-5640-801c-ac14de03be00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sonnenblumenöl,89916e7f-262b-5c43-a2a6-dcb4c7713959,8f622f31-ccab-543a-8652-8ce50d1202aa,1,0,1,0,4,4,1,0,1,0,0,0,0,0,0,0
spitzkohl,433ea856-6ea0-589d-86c0-4cc202f181a2,6d30857b-cbf4-5d10-9ddb-0533cc06d417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stachelbeere,d3711298-30aa-5ed1-8925-f128f1ab10f8,4c2ce0d0-2ffc-53b7-9d69-1ca078b00e22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sultaninen,46db3444-19e8-50d3-a3bd-99305f09dee0,6577f4a1-dd23-5cc8-a4ad-37eeb8cad90a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
süßkirsche,745eb606-8258-5208-82ea-dad97282ada7,d15379b5-2ffc-5535-9e09-0a42f40c59e4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilsiter,67493e89-8a6c-5627-8918-392e7f52790d,ef15b30e-9f19-576d-91b4-ae8460dedc0d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tomaten,f53fc7b4-896d-59a4-bf3f-5ababb37d08d,7ac93785-8e61-539c-860d-0770f92045f2,1,0,1,0,14,14,1,1,1,0,0,0,0,0,0,0
tortenguss,3c810ec5-7317-5039-ae9a-5713d51b7396,6419f7ab-5dc1-5447-b9a1-868b0db7a735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
traubenkernöl,d0cb4d66-2d1b-5865-8343-9bc1ba73deb2,63ac0afe-7641-59f1-8383-1adc6a7b46c3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
traubenzucker,e3c73a69-8887-5288-ab74-32a44e4bb7b3,cfc3bd2d-98c4-5c85-8bbc-111d97ed18a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trockenhefe,aa30c382-3bc4-58ee-b411-c0c210b7a6da,2573b430-0431-56b1-8268-6a30fbb4c370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vanillezucker,fb10004b-d914-5e6f-aa8e-2e116599cb40,d690bf27-7a51-5ac2-b801-198058bd835d,1,0,1,0,2,2,1,1,1,0,0,0,0,0,0,0
vollkornbrot,6bda262a-4c44-5df5-98ff-d4042bf37a61,020c6d64-13f4-556b-b9d9-39ae530fffe8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waldpilze,2f42b4fa-c92e-53aa-b232-b60641bcf85d,52c26e53-404d-5f5a-8446-d2fdac132516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walnussöl,7690f309-32ed-5c7b-887a-f983159c40e4,0d0a93a6-4728-58be-ae50-4d5745434a26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wassermelone,c9764079-99c4-5543-9190-332786b18cb5,72d4940c-3f7f-5c0a-a9b4-c6c8298dfd2c,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
weinsauerkraut,75bdfb70-d7a2-522a-94a8-a137efec87a4,3087b17a-1672-5688-909f-1cd86139c112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wiener würstchen,b249fce4-bda4-51bd-a1c6-2c2b623ecd46,13085a68-933b-5d63-a492-8ef29d1c5b57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yamswurzel,6c5500b0-5a71-5552-b9f0-6758c70cfe09,2ba72d73-e5dc-55cd-b211-2ea1d4c7c7ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zimt,e75a9225-4f04-53fc-adbe-71057063f662,b93438e6-bb2a-51b6-b40d-80b216484ea6,1,0,1,0,6,6,1,0,1,0,0,0,0,0,0,0
zitrone,ce4b1a52-a6ac-59ae-9765-a8ebdffbca59,f5ae3085-930a-58e6-8253-1f6cd7f0cd2a,1,0,1,0,3,3,1,1,1,0,0,0,0,0,0,0
zucker,45b3b564-77d3-5ab5-949e-3dd033c9e60a,19f2acc9-3f5b-519e-b6b8-492fe19fcc93,0,0,0,0,9,9,1,1,1,0,0,0,0,0,0,0
zwetschge,6e618d2c-25f9-5d30-880a-26df3a87bbe3,c8aff628-9a3d-5955-a40f-10de03739051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zwieback,547d0da0-631f-5d68-9769-dd3108a7107d,7c73decd-91d6-5c52-9322-1e5d55b96168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
