=== Dry-run duplicate merge report (case-insensitive exact-name duplicates) ===
No data is modified. This report recommends keep/drop ids and estimates conflict risk.
 rank |       normalized_name        | group_size |               keep_id                |          keep_name           |               drop_id                |          drop_name           | keep_recipe_refs | drop_recipe_refs | keep_price_rows | drop_price_rows | keep_has_bls | drop_has_bls | keep_has_nutrition | drop_has_nutrition | keep_nutrition_nonzero_fields | drop_nutrition_nonzero_fields | price_conflicts | recipe_conflicts | unit_conflicts | impact_score | risk_score | risk_level 
   44 | heringsöl                    |          2 | 11bed24b-b069-5652-800b-85f3683ece46 | Heringsöl                    | 84eb960e-257f-5afd-92de-03b0a0ef7cfd | heringsöl                    |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   45 | himbeere                     |          2 | edf5547b-5c69-5d37-84cf-12e695b615ba | himbeere                     | ab858e60-1af3-5477-b337-53a0a1e8fea2 | Himbeere                     |                0 |                0 |               0 |               0 | t            | f            | t                  | f                  |                             1 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   46 | holunderbeere                |          2 | c4c4f13c-3b71-56cd-a849-97afc5f3f135 | holunderbeere                | 783ff876-e602-503e-811d-51724a07fec2 | Holunderbeere                |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   47 | hühnerei                     |          2 | f927bd06-21e5-5c56-aafb-885a5c1ae8df | hühnerei                     | 2961036e-520a-5ceb-9538-6b6ba9e7d1a1 | Hühnerei                     |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   48 | jacobsmuschel                |          2 | 82594bf5-b7b7-56c5-8de0-f4311577b9a6 | jacobsmuschel                | 31876b3d-224c-5778-9e89-4dc224d22da6 | Jacobsmuschel                |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   49 | johannisbrotkernmehl         |          2 | 4025dcf2-60a6-5b94-9d01-216d45316b3c | johannisbrotkernmehl         | 7f8e0eba-8c2e-583e-a2f4-ef88db6a6eac | Johannisbrotkernmehl         |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   50 | kaffeesahne                  |          2 | 4c905400-bff2-5c27-8023-e171a211057b | kaffeesahne                  | 1f7b8b6b-8c15-50ac-838a-c9c9056b0383 | Kaffeesahne                  |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   51 | kakaobutter                  |          2 | f869a893-b82a-5ae1-a3bb-3fd2672131fe | kakaobutter                  | 7ccd516b-9145-5d62-be99-e120a024f06c | Kakaobutter                  |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   52 | kalbsroulade                 |          2 | 811b446d-de37-5a03-b1d6-57cfb756dbd6 | kalbsroulade                 | 8fd177b4-7849-5155-9148-e2dc3efcde3a | Kalbsroulade                 |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   53 | kasseler                     |          2 | 07261e1d-2826-5e57-93a5-a4b2eeaadf46 | Kasseler                     | 867f7219-d445-58e9-9165-19bb3178a271 | kasseler                     |                0 |                0 |               0 |               0 | f            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
